Date,Nutrient,Quantity,Unit
2024-12-03,Calories,7020,Cals
2024-12-03,Added Sugars,0,g
2024-12-03,Carbs,1546.35,g
2024-12-03,Fats,11.309999999999999,g
2024-12-03,Protein,128.895,g
2024-12-03,Fiber,0,g
2024-12-03,Carbohydrates,1546.35,g
2024-12-03,Cholesterol,0.0,g
2024-12-03,Sodium,19.5,mg
2024-12-03,Calories,566,Cals
2024-12-03,Added Sugars,113.36000000000001,g
2024-12-03,Carbs,124.26000000000002,g
2024-12-03,Fats,1.8530000000000002,g
2024-12-03,Protein,2.834,g
2024-12-03,Fiber,26.16,g
2024-12-03,Carbohydrates,150.42000000000002,g
2024-12-03,Cholesterol,0.0,g
2024-12-03,Sodium,10.9,mg
2024-12-03,Calories,623,Cals
2024-12-03,Added Sugars,45.385,g
2024-12-03,Carbs,121.07499999999999,g
2024-12-03,Fats,9.787500000000001,g
2024-12-03,Protein,23.7075,g
2024-12-03,Fiber,14.5,g
2024-12-03,Carbohydrates,135.575,g
2024-12-03,Cholesterol,0.0,g
2024-12-03,Sodium,108.75,mg
2024-12-03,Calories,202,Cals
2024-12-03,Added Sugars,0.5244661778125,g
2024-12-03,Carbs,1.0205828325,g
2024-12-03,Fats,13.4801982459375,g
2024-12-03,Protein,17.860199568749998,g
2024-12-03,Fiber,0.0,g
2024-12-03,Carbohydrates,1.0205828325,g
2024-12-03,Cholesterol,527.301130125,mg
2024-12-03,Sodium,201.2816141875,mg


2024-12-04,Calories,202,Cals
2024-12-04,Added Sugars,0.5244661778125,g
2024-12-04,Carbs,1.0205828325,g
2024-12-04,Fats,13.4801982459375,g
2024-12-04,Protein,17.860199568749998,g
2024-12-04,Fiber,0.0,g
2024-12-04,Carbohydrates,1.0205828325,g
2024-12-04,Cholesterol,527.301130125,mg
2024-12-04,Sodium,201.2816141875,mg
2024-12-04,Calories,297,Cals
2024-12-04,Added Sugars,24.644,g
2024-12-04,Carbs,23.424,g
2024-12-04,Fats,15.86,g
2024-12-04,Protein,15.372,g
2024-12-04,Fiber,0.0,g
2024-12-04,Carbohydrates,23.424,g
2024-12-04,Cholesterol,48.8,mg
2024-12-04,Sodium,209.84,mg
2024-12-04,Calories,297,Cals
2024-12-04,Added Sugars,24.644,g
2024-12-04,Carbs,23.424,g
2024-12-04,Fats,15.86,g
2024-12-04,Protein,15.372,g
2024-12-04,Fiber,0.0,g
2024-12-04,Carbohydrates,23.424,g
2024-12-04,Cholesterol,48.8,mg
2024-12-04,Sodium,209.84,mg

2024-12-05,Calories,29,Cals
2024-12-05,Added Sugars,5.896700810000001,g
2024-12-05,Carbs,6.463691272500001,g
2024-12-05,Fats,0.09638837862500002,g
2024-12-05,Protein,0.14741752025000002,g
2024-12-05,Fiber,1.3607771100000001,g
2024-12-05,Carbohydrates,7.824468382500001,g
2024-12-05,Cholesterol,0.0,g
2024-12-05,Sodium,0.5669904625000001,mg
